Movie_Title,Company_title,Company_link,
https://www.the-numbers.com/movie/Black-Adam#tab=box-office,Warner Bros.,https://www.the-numbers.com/market/distributor/Warner-Bros,
https://www.the-numbers.com/movie/Holy-Spider-(2022-France)#tab=box-office,Utopia,https://www.the-numbers.com/market/distributor/Utopia,
https://www.the-numbers.com/movie/beau-matin-Un-(2022-France)#tab=box-office,Sony Pictures Cla…,https://www.the-numbers.com/market/distributor/Sony-Pictures-Classics,
https://www.the-numbers.com/movie/RRR-(2022-India)#tab=box-office,Sarigama Cinemas,https://www.the-numbers.com/market/distributor/Sarigama-Cinemas,
https://www.the-numbers.com/movie/conformista-Il#tab=box-office,Kino Lorber,https://www.the-numbers.com/market/distributor/Kino-Lorber,
https://www.the-numbers.com/movie/I-Heard-the-Bells-(2022)#tab=box-office,Fathom Events,https://www.the-numbers.com/market/distributor/Fathom-Events,
https://www.the-numbers.com/movie/Ticket-to-Paradise-(2022)#tab=box-office,Universal,https://www.the-numbers.com/market/distributor/Universal,
https://www.the-numbers.com/movie/Cat-Daddies-(2021)#tab=box-office,Gray Hat Productions,https://www.the-numbers.com/market/distributor/Gray-Hat-Productions,
https://www.the-numbers.com/movie/Alcarras-(2022-Spain)#tab=box-office,MUBI,https://www.the-numbers.com/market/distributor/MUBI,
https://www.the-numbers.com/movie/Cinema-Sabaya-(2022-Israel)#tab=box-office,Kino Lorber,https://www.the-numbers.com/market/distributor/Kino-Lorber,
https://www.the-numbers.com/movie/Jing-yi-wui-long-(2022-Hong-Kong)#tab=box-office,Well Go USA,https://www.the-numbers.com/market/distributor/Well-Go-USA,
https://www.the-numbers.com/movie/vita-difficile-Una-(1961-Italy)#tab=box-office,Rialto Pictures,https://www.the-numbers.com/market/distributor/Rialto-Pictures,
https://www.the-numbers.com/movie/Pacte-des-loups-Le#tab=box-office,Universal,https://www.the-numbers.com/market/distributor/Universal,
https://www.the-numbers.com/movie/Mean-One-The-(2022)#tab=box-office,Atlas Distribution,https://www.the-numbers.com/market/distributor/Atlas-Distribution,
https://www.the-numbers.com/movie/proces-Le-(1962-France)#tab=box-office,,,
https://www.the-numbers.com/movie/Baby-Ruby-(2023)#tab=box-office,Magnet Releasing,https://www.the-numbers.com/market/distributor/Magnet-Releasing,
https://www.the-numbers.com/movie/Civil-Dead-The-(2022)#tab=box-office,Utopia,https://www.the-numbers.com/market/distributor/Utopia,
https://www.the-numbers.com/movie/iMordecai-(2023)#tab=box-office,Greenwich,https://www.the-numbers.com/market/distributor/Greenwich,
https://www.the-numbers.com/movie/Filmmakers-for-the-Prosecution-(2023)#tab=box-office,Kino Lorber,https://www.the-numbers.com/market/distributor/Kino-Lorber,
https://www.the-numbers.com/movie/Plein-temps-A-(2022-France)#tab=box-office,Music Box Films,https://www.the-numbers.com/market/distributor/Music-Box-Films,
https://www.the-numbers.com/movie/Davandeh-(1984-Iran)#tab=box-office,,,
https://www.the-numbers.com/movie/Only-in-Theaters-(2022)#tab=box-office,The Film Collabor…,https://www.the-numbers.com/market/distributor/The-Film-Collaborative-,
